#           k/h    P           
    0.10000E-03    0.25915E+03
    0.10202E-03    0.26421E+03
    0.10408E-03    0.26936E+03
    0.10618E-03    0.27461E+03
    0.10833E-03    0.27996E+03
    0.11052E-03    0.28542E+03
    0.11275E-03    0.29099E+03
    0.11503E-03    0.29666E+03
    0.11735E-03    0.30245E+03
    0.11972E-03    0.30834E+03
    0.12214E-03    0.31435E+03
    0.12461E-03    0.32048E+03
    0.12712E-03    0.32673E+03
    0.12969E-03    0.33310E+03
    0.13231E-03    0.33959E+03
    0.13499E-03    0.34621E+03
    0.13771E-03    0.35296E+03
    0.14049E-03    0.35984E+03
    0.14333E-03    0.36685E+03
    0.14623E-03    0.37400E+03
    0.14918E-03    0.38129E+03
    0.15220E-03    0.38872E+03
    0.15527E-03    0.39630E+03
    0.15841E-03    0.40402E+03
    0.16161E-03    0.41189E+03
    0.16487E-03    0.41992E+03
    0.16820E-03    0.42810E+03
    0.17160E-03    0.43644E+03
    0.17507E-03    0.44494E+03
    0.17860E-03    0.45361E+03
    0.18221E-03    0.46244E+03
    0.18589E-03    0.47145E+03
    0.18965E-03    0.48064E+03
    0.19348E-03    0.49000E+03
    0.19739E-03    0.49954E+03
    0.20138E-03    0.50927E+03
    0.20544E-03    0.51918E+03
    0.20959E-03    0.52929E+03
    0.21383E-03    0.53960E+03
    0.21815E-03    0.55010E+03
    0.22255E-03    0.56081E+03
    0.22705E-03    0.57173E+03
    0.23164E-03    0.58285E+03
    0.23632E-03    0.59420E+03
    0.24109E-03    0.60576E+03
    0.24596E-03    0.61755E+03
    0.25093E-03    0.62956E+03
    0.25600E-03    0.64181E+03
    0.26117E-03    0.65429E+03
    0.26645E-03    0.66702E+03
    0.27183E-03    0.67999E+03
    0.27732E-03    0.69321E+03
    0.28292E-03    0.70669E+03
    0.28864E-03    0.72042E+03
    0.29447E-03    0.73443E+03
    0.30042E-03    0.74870E+03
    0.30649E-03    0.76324E+03
    0.31268E-03    0.77807E+03
    0.31899E-03    0.79319E+03
    0.32544E-03    0.80859E+03
    0.33201E-03    0.82429E+03
    0.33872E-03    0.84029E+03
    0.34556E-03    0.85660E+03
    0.35254E-03    0.87323E+03
    0.35966E-03    0.89017E+03
    0.36693E-03    0.90744E+03
    0.37434E-03    0.92504E+03
    0.38190E-03    0.94297E+03
    0.38962E-03    0.96125E+03
    0.39749E-03    0.97988E+03
    0.40552E-03    0.99887E+03
    0.41371E-03    0.10182E+04
    0.42207E-03    0.10379E+04
    0.43060E-03    0.10580E+04
    0.43929E-03    0.10785E+04
    0.44817E-03    0.10994E+04
    0.45722E-03    0.11206E+04
    0.46646E-03    0.11423E+04
    0.47588E-03    0.11644E+04
    0.48550E-03    0.11869E+04
    0.49530E-03    0.12098E+04
