#           k/h    P           
    0.10000E-03    0.12580E+02
    0.10202E-03    0.12825E+02
    0.10408E-03    0.13075E+02
    0.10618E-03    0.13330E+02
    0.10833E-03    0.13590E+02
    0.11052E-03    0.13855E+02
    0.11275E-03    0.14125E+02
    0.11503E-03    0.14401E+02
    0.11735E-03    0.14682E+02
    0.11972E-03    0.14968E+02
    0.12214E-03    0.15260E+02
    0.12461E-03    0.15557E+02
    0.12712E-03    0.15861E+02
    0.12969E-03    0.16170E+02
    0.13231E-03    0.16485E+02
    0.13499E-03    0.16807E+02
    0.13771E-03    0.17134E+02
    0.14049E-03    0.17468E+02
    0.14333E-03    0.17809E+02
    0.14623E-03    0.18156E+02
    0.14918E-03    0.18510E+02
    0.15220E-03    0.18871E+02
    0.15527E-03    0.19239E+02
    0.15841E-03    0.19614E+02
    0.16161E-03    0.19996E+02
    0.16487E-03    0.20386E+02
    0.16820E-03    0.20783E+02
    0.17160E-03    0.21188E+02
    0.17507E-03    0.21601E+02
    0.17860E-03    0.22022E+02
    0.18221E-03    0.22451E+02
    0.18589E-03    0.22889E+02
    0.18965E-03    0.23335E+02
    0.19348E-03    0.23790E+02
    0.19739E-03    0.24253E+02
    0.20138E-03    0.24726E+02
    0.20544E-03    0.25207E+02
    0.20959E-03    0.25698E+02
    0.21383E-03    0.26199E+02
    0.21815E-03    0.26709E+02
    0.22255E-03    0.27230E+02
    0.22705E-03    0.27760E+02
    0.23164E-03    0.28301E+02
    0.23632E-03    0.28852E+02
    0.24109E-03    0.29414E+02
    0.24596E-03    0.29987E+02
    0.25093E-03    0.30570E+02
    0.25600E-03    0.31166E+02
    0.26117E-03    0.31772E+02
    0.26645E-03    0.32391E+02
    0.27183E-03    0.33021E+02
    0.27732E-03    0.33664E+02
    0.28292E-03    0.34319E+02
    0.28864E-03    0.34987E+02
    0.29447E-03    0.35668E+02
    0.30042E-03    0.36362E+02
    0.30649E-03    0.37069E+02
    0.31268E-03    0.37790E+02
    0.31899E-03    0.38525E+02
    0.32544E-03    0.39274E+02
    0.33201E-03    0.40038E+02
    0.33872E-03    0.40816E+02
    0.34556E-03    0.41610E+02
    0.35254E-03    0.42418E+02
    0.35966E-03    0.43243E+02
    0.36693E-03    0.44083E+02
    0.37434E-03    0.44939E+02
    0.38190E-03    0.45812E+02
    0.38962E-03    0.46702E+02
    0.39749E-03    0.47609E+02
    0.40552E-03    0.48533E+02
    0.41371E-03    0.49475E+02
    0.42207E-03    0.50435E+02
    0.43060E-03    0.51413E+02
    0.43929E-03    0.52411E+02
    0.44817E-03    0.53427E+02
    0.45722E-03    0.54463E+02
    0.46646E-03    0.55518E+02
    0.47588E-03    0.56594E+02
    0.48550E-03    0.57691E+02
    0.49530E-03    0.58808E+02
    0.50531E-03    0.59947E+02
    0.51552E-03    0.61107E+02
    0.52593E-03    0.62289E+02
    0.53656E-03    0.63494E+02
    0.54739E-03    0.64722E+02
    0.55845E-03    0.65973E+02
    0.56973E-03    0.67248E+02
    0.58124E-03    0.68547E+02
    0.59299E-03    0.69871E+02
    0.60496E-03    0.71219E+02
    0.61719E-03    0.72593E+02
    0.62965E-03    0.73993E+02
    0.64237E-03    0.75419E+02
    0.65535E-03    0.76872E+02
    0.66859E-03    0.78353E+02
    0.68210E-03    0.79861E+02
    0.69588E-03    0.81397E+02
    0.70993E-03    0.82962E+02
    0.72427E-03    0.84556E+02
    0.73891E-03    0.86180E+02
    0.75383E-03    0.87835E+02
    0.76906E-03    0.89519E+02
    0.78460E-03    0.91235E+02
    0.80045E-03    0.92983E+02
    0.81662E-03    0.94763E+02
    0.83311E-03    0.96576E+02
    0.84994E-03    0.98422E+02
    0.86711E-03    0.10030E+03
    0.88463E-03    0.10222E+03
    0.90250E-03    0.10416E+03
    0.92073E-03    0.10615E+03
    0.93933E-03    0.10817E+03
    0.95831E-03    0.11023E+03
    0.97767E-03    0.11232E+03
    0.99742E-03    0.11445E+03
    0.10176E-02    0.11662E+03
    0.10381E-02    0.11883E+03
    0.10591E-02    0.12108E+03
    0.10805E-02    0.12337E+03
    0.11023E-02    0.12570E+03
    0.11246E-02    0.12807E+03
    0.11473E-02    0.13048E+03
    0.11705E-02    0.13293E+03
    0.11941E-02    0.13543E+03
    0.12182E-02    0.13797E+03
    0.12429E-02    0.14056E+03
    0.12680E-02    0.14318E+03
    0.12936E-02    0.14586E+03
    0.13197E-02    0.14858E+03
    0.13464E-02    0.15134E+03
    0.13736E-02    0.15416E+03
    0.14013E-02    0.15702E+03
    0.14296E-02    0.15993E+03
    0.14585E-02    0.16288E+03
    0.14880E-02    0.16589E+03
    0.15180E-02    0.16895E+03
    0.15487E-02    0.17205E+03
    0.15800E-02    0.17521E+03
    0.16119E-02    0.17842E+03
    0.16445E-02    0.18168E+03
    0.16777E-02    0.18499E+03
    0.17116E-02    0.18836E+03
    0.17462E-02    0.19178E+03
    0.17814E-02    0.19525E+03
    0.18174E-02    0.19878E+03
    0.18541E-02    0.20236E+03
    0.18916E-02    0.20600E+03
    0.19298E-02    0.20969E+03
    0.19688E-02    0.21344E+03
    0.20086E-02    0.21725E+03
    0.20491E-02    0.22111E+03
    0.20905E-02    0.22503E+03
    0.21328E-02    0.22901E+03
    0.21758E-02    0.23305E+03
    0.22198E-02    0.23714E+03
    0.22646E-02    0.24130E+03
    0.23104E-02    0.24551E+03
    0.23571E-02    0.24978E+03
    0.24047E-02    0.25411E+03
    0.24533E-02    0.25851E+03
    0.25028E-02    0.26296E+03
    0.25534E-02    0.26747E+03
    0.26050E-02    0.27204E+03
    0.26576E-02    0.27667E+03
    0.27113E-02    0.28136E+03
    0.27660E-02    0.28611E+03
    0.28219E-02    0.29093E+03
    0.28789E-02    0.29580E+03
    0.29371E-02    0.30073E+03
    0.29964E-02    0.30572E+03
    0.30569E-02    0.31077E+03
    0.31187E-02    0.31587E+03
    0.31817E-02    0.32104E+03
    0.32460E-02    0.32626E+03
    0.33115E-02    0.33155E+03
    0.33784E-02    0.33688E+03
    0.34467E-02    0.34228E+03
    0.35163E-02    0.34773E+03
    0.35874E-02    0.35324E+03
    0.36598E-02    0.35879E+03
    0.37338E-02    0.36441E+03
    0.38092E-02    0.37007E+03
    0.38861E-02    0.37579E+03
    0.39646E-02    0.38155E+03
    0.40447E-02    0.38737E+03
    0.41264E-02    0.39323E+03
    0.42098E-02    0.39914E+03
    0.42948E-02    0.40509E+03
    0.43816E-02    0.41108E+03
    0.44701E-02    0.41712E+03
    0.45604E-02    0.42320E+03
    0.46525E-02    0.42932E+03
    0.47465E-02    0.43547E+03
    0.48424E-02    0.44165E+03
    0.49402E-02    0.44787E+03
    0.50400E-02    0.45412E+03
    0.51419E-02    0.46040E+03
    0.52457E-02    0.46670E+03
    0.53517E-02    0.47303E+03
    0.54598E-02    0.47937E+03
    0.55701E-02    0.48573E+03
    0.56826E-02    0.49211E+03
    0.57974E-02    0.49850E+03
    0.59145E-02    0.50490E+03
    0.60340E-02    0.51131E+03
    0.61559E-02    0.51772E+03
    0.62803E-02    0.52413E+03
    0.64072E-02    0.53053E+03
    0.65366E-02    0.53693E+03
